grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/258,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,457484,2023,Technical Equipment,Field Operations Unit
2023/262,FOU,Malta,Armed Forces of Malta,"General Headquarters, Luqa Barracks, Malta",2023/FOU/01/Heavy Technical Equipment,227741,2023,Technical Equipment,Field Operations Unit
2023/263,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,637245,2023,Technical Equipment,Field Operations Unit
2023/264,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,202173,2023,Technical Equipment,Field Operations Unit
2023/271,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,814921,2023,Technical Equipment,Field Operations Unit
2023/273,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,446847,2023,Technical Equipment,Field Operations Unit
2023/306,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1523475,2023,Technical Equipment,Field Operations Unit
2023/308,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,284276,2023,Technical Equipment,Field Operations Unit
2023/309,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,241698,2023,Technical Equipment,Field Operations Unit
2023/316,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,67749,2023,Technical Equipment,Field Operations Unit
2023/317,FOU,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2023/FOU/01/Heavy Technical Equipment,1384895,2023,Technical Equipment,Field Operations Unit
2023/319,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1382659,2023,Technical Equipment,Field Operations Unit
2023/320,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,294867,2023,Technical Equipment,Field Operations Unit
2023/329,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,444766,2023,Technical Equipment,Field Operations Unit
2023/330,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,484308,2023,Technical Equipment,Field Operations Unit
2023/331,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/FOU/01/Heavy Technical Equipment,363988,2023,Technical Equipment,Field Operations Unit
2023/332,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,396169,2023,Technical Equipment,Field Operations Unit
2023/339,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,1789354,2023,Technical Equipment,Field Operations Unit
2023/340,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,332490,2023,Technical Equipment,Field Operations Unit
2023/341,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,429652,2023,Technical Equipment,Field Operations Unit
2023/342,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,946753,2023,Technical Equipment,Field Operations Unit
2023/347,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,639405,2023,Technical Equipment,Field Operations Unit
2023/348,FOU,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/FOU/01/Heavy Technical Equipment,2359647,2023,Technical Equipment,Field Operations Unit
2023/357,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,220382,2023,Technical Equipment,Field Operations Unit
2023/358,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,219825,2023,Technical Equipment,Field Operations Unit
2023/359,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,678903,2023,Technical Equipment,Field Operations Unit
2023/360,CGS,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",MMO Baltic Sea 2023/Heavy Technical Equipment,87960,2023,Technical Equipment,Coast Guard Sector
2023/362,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,91457,2023,Technical Equipment,Field Operations Unit
2023/363,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1029330,2023,Technical Equipment,Field Operations Unit
2023/364,CGS,Estonia,Estonian Navy,"Juhkentali 58, Tallinn, 15007, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,690234,2023,Technical Equipment,Coast Guard Sector
2023/365,CGS,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,37572,2023,Technical Equipment,Coast Guard Sector
2023/368,CGS,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",MMO Baltic Sea 2023/Heavy Technical Equipment,288052,2023,Technical Equipment,Coast Guard Sector
2023/369,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1815909,2023,Technical Equipment,Field Operations Unit
2023/371,FOU,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2023/FOU/01/Heavy Technical Equipment,180085,2023,Technical Equipment,Field Operations Unit
2023/372,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,663091,2023,Technical Equipment,Field Operations Unit
2023/374,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,465312,2023,Technical Equipment,Field Operations Unit
2023/376,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,678444,2023,Technical Equipment,Field Operations Unit
2023/377,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Black Sea 2023/Heavy Technical Equipment,237361,2023,Technical Equipment,Coast Guard Sector
2023/384,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,536319,2023,Technical Equipment,Field Operations Unit
2023/386,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,1122611,2023,Technical Equipment,Field Operations Unit
2023/387,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,324081,2023,Technical Equipment,Field Operations Unit
2023/390,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269516,2023,Technical Equipment,Field Operations Unit
2023/391,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,544504,2023,Technical Equipment,Field Operations Unit
2023/398,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,329357,2023,Technical Equipment,Field Operations Unit
2023/401,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,834148,2023,Technical Equipment,Field Operations Unit
2023/403,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1033813,2023,Technical Equipment,Field Operations Unit
2023/409,FOU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2023/FOU/01/Heavy Technical Equipment,1488281,2023,Technical Equipment,Field Operations Unit
2023/412,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,67749,2023,Technical Equipment,Field Operations Unit
2023/414,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,2124387,2023,Technical Equipment,Field Operations Unit
2023/420,FOU,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2023/FOU/01/Heavy Technical Equipment,1021824.35,2023,Technical Equipment,Field Operations Unit
2023/421,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,313645,2023,Technical Equipment,Field Operations Unit
2023/422,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,517413,2023,Technical Equipment,Field Operations Unit
2023/423,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,913524,2023,Technical Equipment,Field Operations Unit
2023/425,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,301746,2023,Technical Equipment,Field Operations Unit
2023/432,FOU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/FOU/01/Heavy Technical Equipment,632564,2023,Technical Equipment,Field Operations Unit
2023/433,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,574036,2023,Technical Equipment,Field Operations Unit
2023/438,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2023/FOU/01/Heavy Technical Equipment,635996,2023,Technical Equipment,Field Operations Unit
2023/439,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,97206,2023,Technical Equipment,Field Operations Unit
2023/440,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,508558,2023,Technical Equipment,Field Operations Unit
2023/441,CGS,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/CGS/Heavy Technical Equipment,102481,2023,Technical Equipment,Coast Guard Sector
2023/442,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,516779,2023,Technical Equipment,Field Operations Unit
2023/449,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2023/FOU/01/Heavy Technical Equipment,204644,2023,Technical Equipment,Field Operations Unit
2023/450,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,94181,2023,Technical Equipment,Field Operations Unit
2023/451,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,303261,2023,Technical Equipment,Field Operations Unit
2023/452,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,871620,2023,Technical Equipment,Field Operations Unit
2023/453,TRU,Portugal,National Maritime Authority,"Praça do Comércio, 1100-148 Lisboa, Portugal",Engagement of technical equipment in Frontex EFS Exercise,11665.5,2023,Technical Equipment,Training Unit
2023/456,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,407282,2023,Technical Equipment,Field Operations Unit
2023/457,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,272696,2023,Technical Equipment,Field Operations Unit
2023/458,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,464734,2023,Technical Equipment,Field Operations Unit
2023/459,CGS,Croatia,Border Police,"Illica 335, 10000 Zagreb, Croatia",MMO Adria 2023/Heavy Technical Equipment,123052,2023,Technical Equipment,Coast Guard Sector
2023/466,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,426823,2023,Technical Equipment,Field Operations Unit
2023/467,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269992,2023,Technical Equipment,Field Operations Unit
2023/468,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,303134,2023,Technical Equipment,Field Operations Unit
2023/469,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,190755,2023,Technical Equipment,Field Operations Unit
2023/471,CGS,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Western Black Sea 2023/Heavy Technical Equipment,241903,2023,Technical Equipment,Coast Guard Sector
2023/472,FOU,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/FOU/01/Heavy Technical Equipment,780524,2023,Technical Equipment,Field Operations Unit
2023/473,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,201403,2023,Technical Equipment,Field Operations Unit
2023/477,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,279749,2023,Technical Equipment,Field Operations Unit
2023/478,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1581763,2023,Technical Equipment,Field Operations Unit
2022/10,FOU,Luxembourg,Ministry of Internal Security,"4, Place de l'Europe
L-1499 Luxembourg
",2022/FOU/Heavy Technical Equipment,889475,2022,Technical Equipment,Field Operations Unit
2022/27,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/Heavy Technical Equipment,888613,2022,Technical Equipment,Field Operations Unit
2022/30,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/Heavy Technical Equipment,420391,2022,Technical Equipment,Field Operations Unit
2022/31,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/Heavy Technical Equipment,411860,2022,Technical Equipment,Field Operations Unit
2022/34,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2022/FOU/01/Heavy Technical Equipment,510838,2022,Technical Equipment,Field Operations Unit
2022/35,FOU,Germany,Federal Border Police Headquarters,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2022/FOU/01/Heavy Technical Equipment,523260,2022,Technical Equipment,Field Operations Unit
2022/44,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2022/FOU/01/Heavy Technical Equipment,101260,2022,Technical Equipment,Field Operations Unit
2022/51,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2022/FOU/01/Heavy Technical Equipment,481357,2022,Technical Equipment,Field Operations Unit
2022/52,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2022/FOU/01/Heavy Technical Equipment,1518955,2022,Technical Equipment,Field Operations Unit
2022/53,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,504131,2022,Technical Equipment,Field Operations Unit
2022/54,FOU,Croatia,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2022/FOU/01/Heavy Technical Equipment,380184,2022,Technical Equipment,Field Operations Unit
2022/55,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,320266,2022,Technical Equipment,Field Operations Unit
2022/56,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,1611095,2022,Technical Equipment,Field Operations Unit
2022/77,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,373794,2022,Technical Equipment,Field Operations Unit
2022/78,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,763330,2022,Technical Equipment,Field Operations Unit
2022/81,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,481642,2022,Technical Equipment,Field Operations Unit
2022/93,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,805116,2022,Technical Equipment,Field Operations Unit
2022/95,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,678752,2022,Technical Equipment,Field Operations Unit
2022/97,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,138614,2022,Technical Equipment,Field Operations Unit
2022/98,FOU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2022/FOU/01/Heavy Technical Equipment,1432962,2022,Technical Equipment,Field Operations Unit
2022/103,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,59506,2022,Technical Equipment,Field Operations Unit
2022/104,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,329242,2022,Technical Equipment,Field Operations Unit
2022/115,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,69977,2022,Technical Equipment,Field Operations Unit
2022/119,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,307118,2022,Technical Equipment,Field Operations Unit
2022/123,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa, Portugal",2022/FOU/01/Heavy Technical Equipment,1405010,2022,Technical Equipment,Field Operations Unit
2022/128,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,1259606,2022,Technical Equipment,Field Operations Unit
2022/130,FOU,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,555347,2022,Technical Equipment,Field Operations Unit
2022/131,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,536268,2022,Technical Equipment,Field Operations Unit
2022/132,FOU,Germany,Federal Border Police Headquarters,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2022/FOU/01/Heavy Technical Equipment,424823,2022,Technical Equipment,Field Operations Unit
2022/133,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2022/FOU/01/Heavy Technical Equipment,429480,2022,Technical Equipment,Field Operations Unit
2022/135,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2022/FOU/01/Heavy Technical Equipment,38569,2022,Technical Equipment,Field Operations Unit
2022/136,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,1068924,2022,Technical Equipment,Field Operations Unit
2022/137,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2022/FOU/01/Heavy Technical Equipment,580234,2022,Technical Equipment,Field Operations Unit
2022/138,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,1137384,2022,Technical Equipment,Field Operations Unit
2022/144,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa, Portugal",2022/FOU/01/Heavy Technical Equipment,368271,2022,Technical Equipment,Field Operations Unit
2022/154,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,357600,2022,Technical Equipment,Field Operations Unit
2022/157,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,423445,2022,Technical Equipment,Field Operations Unit
2022/175,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,321469,2022,Technical Equipment,Field Operations Unit
2022/176,FOU,Slovakia,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/FOU/01/Heavy Technical Equipment,99432,2022,Technical Equipment,Field Operations Unit
2022/177,FOU,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2022/FOU/01/Heavy Technical Equipment,678446,2022,Technical Equipment,Field Operations Unit
2022/178,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,2502288,2022,Technical Equipment,Field Operations Unit
2022/179,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,841079,2022,Technical Equipment,Field Operations Unit
2022/182,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,410513,2022,Technical Equipment,Field Operations Unit
2022/196,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,475120,2022,Technical Equipment,Field Operations Unit
2022/213,FOU,Portugal,Portuguese Navy,"
Rua do Arsenal
1149-001 Lisboa
Portugal
",2022/FOU/01/Heavy Technical Equipment,233031,2022,Technical Equipment,Field Operations Unit
2022/214,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,174739,2022,Technical Equipment,Field Operations Unit
2022/215,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,210290,2022,Technical Equipment,Field Operations Unit
2022/220,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,1629612,2022,Technical Equipment,Field Operations Unit
2022/221,FOU,Luxembourg,Ministry of Internal Security,"4, Place de l'Europe
L-1499 Luxembourg
",2022/FOU/01/Heavy Technical Equipment,1415165,2022,Technical Equipment,Field Operations Unit
2022/222,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,583924,2022,Technical Equipment,Field Operations Unit
2022/224,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2022/FOU/01/Heavy Technical Equipment,322991,2022,Technical Equipment,Field Operations Unit
2022/235,FOU,Germany,Federal Border Police Headquarters,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2022/FOU/01/Heavy Technical Equipment,409963,2022,Technical Equipment,Field Operations Unit
2022/236,FOU,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague, The Netherlands",2022/FOU/01/Heavy Technical Equipment,129519,2022,Technical Equipment,Field Operations Unit
2022/254,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,363926,2022,Technical Equipment,Field Operations Unit
2022/269,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,549380,2022,Technical Equipment,Field Operations Unit
2022/271,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2022/FOU/01/Heavy Technical Equipment,1266756,2022,Technical Equipment,Field Operations Unit
2022/272,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,1014556,2022,Technical Equipment,Field Operations Unit
2022/275,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,403555,2022,Technical Equipment,Field Operations Unit
2022/278,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/01/Heavy Technical Equipment,132074,2022,Technical Equipment,Field Operations Unit
2022/279,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,326518,2022,Technical Equipment,Field Operations Unit
2022/280,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,262108,2022,Technical Equipment,Field Operations Unit
2022/281,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,649930,2022,Technical Equipment,Field Operations Unit
2022/282,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,647195,2022,Technical Equipment,Field Operations Unit
2022/284,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2022/FOU/01/Heavy Technical Equipment,366986,2022,Technical Equipment,Field Operations Unit
2022/285,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2022/FOU/01/Heavy Technical Equipment,555205,2022,Technical Equipment,Field Operations Unit
